Subject,group,VisualField,Grammaticality,Accuracy
FS-01,FS-,LVF,ungrammatical,0.739130435
FS-02,FS-,LVF,ungrammatical,0.695652174
FS-03,FS-,LVF,ungrammatical,0.782608696
FS-04,FS-,LVF,ungrammatical,0.565217391
FS-05,FS-,LVF,ungrammatical,0.760869565
FS-06,FS-,LVF,ungrammatical,0.804347826
FS-07,FS-,LVF,ungrammatical,0.456521739
FS-08,FS-,LVF,ungrammatical,0.586956522
FS-09,FS-,LVF,ungrammatical,0.52173913
FS-10,FS-,LVF,ungrammatical,0.52173913
FS-11,FS-,LVF,ungrammatical,0.652173913
FS-12,FS-,LVF,ungrammatical,0.717391304
FS-13,FS-,LVF,ungrammatical,0.565217391
FS-14,FS-,LVF,ungrammatical,0.739130435
FS-15,FS-,LVF,ungrammatical,0.760869565
FS-16,FS-,LVF,ungrammatical,0.869565217
FS-17,FS-,LVF,ungrammatical,0.717391304
FS-18,FS-,LVF,ungrammatical,0.543478261
FS-19,FS-,LVF,ungrammatical,0.782608696
FS-20,FS-,LVF,ungrammatical,0.717391304
FS-21,FS-,LVF,ungrammatical,0.826086957
FS-22,FS-,LVF,ungrammatical,0.717391304
FS-23,FS-,LVF,ungrammatical,0.47826087
FS-24,FS-,LVF,ungrammatical,0.673913043
FS-25,FS-,LVF,ungrammatical,0.630434783
FS-26,FS-,LVF,ungrammatical,0.739130435
FS-27,FS-,LVF,ungrammatical,0.565217391
FS-28,FS-,LVF,ungrammatical,0.913043478
FS-29,FS-,LVF,ungrammatical,0.804347826
FS-30,FS-,LVF,ungrammatical,0.760869565
FS-31,FS-,LVF,ungrammatical,0.739130435
FS-32,FS-,LVF,ungrammatical,0.934782609
FS-33,FS-,LVF,ungrammatical,0.586956522
FS-34,FS-,LVF,ungrammatical,0.5
FS-35,FS-,LVF,ungrammatical,0.913043478
FS+01,FS+,LVF,ungrammatical,0.739130435
FS+02,FS+,LVF,ungrammatical,0.913043478
FS+03,FS+,LVF,ungrammatical,0.391304348
FS+04,FS+,LVF,ungrammatical,0.695652174
FS+05,FS+,LVF,ungrammatical,0.608695652
FS+06,FS+,LVF,ungrammatical,0.565217391
FS+07,FS+,LVF,ungrammatical,0.717391304
FS+08,FS+,LVF,ungrammatical,0.782608696
FS+09,FS+,LVF,ungrammatical,0.717391304
FS+10,FS+,LVF,ungrammatical,0.434782609
FS+11,FS+,LVF,ungrammatical,0.804347826
FS+12,FS+,LVF,ungrammatical,0.717391304
FS+13,FS+,LVF,ungrammatical,0.826086957
FS+14,FS+,LVF,ungrammatical,0.782608696
FS+15,FS+,LVF,ungrammatical,0.782608696
FS+16,FS+,LVF,ungrammatical,0.630434783
FS+17,FS+,LVF,ungrammatical,0.630434783
FS+18,FS+,LVF,ungrammatical,0.847826087
FS+19,FS+,LVF,ungrammatical,0.804347826
FS+20,FS+,LVF,ungrammatical,0.913043478
FS+21,FS+,LVF,ungrammatical,0.891304348
FS+22,FS+,LVF,ungrammatical,0.826086957
FS+23,FS+,LVF,ungrammatical,0.956521739
FS+24,FS+,LVF,ungrammatical,0.608695652
FS+25,FS+,LVF,ungrammatical,0.913043478
FS+26,FS+,LVF,ungrammatical,0.739130435
FS+27,FS+,LVF,ungrammatical,0.695652174
FS+28,FS+,LVF,ungrammatical,0.847826087
FS+29,FS+,LVF,ungrammatical,0.739130435
FS-01,FS-,LVF,grammatical,0.869565217
FS-02,FS-,LVF,grammatical,0.869565217
FS-03,FS-,LVF,grammatical,0.760869565
FS-04,FS-,LVF,grammatical,0.760869565
FS-05,FS-,LVF,grammatical,0.673913043
FS-06,FS-,LVF,grammatical,0.869565217
FS-07,FS-,LVF,grammatical,0.956521739
FS-08,FS-,LVF,grammatical,0.782608696
FS-09,FS-,LVF,grammatical,0.543478261
FS-10,FS-,LVF,grammatical,0.586956522
FS-11,FS-,LVF,grammatical,0.543478261
FS-12,FS-,LVF,grammatical,0.782608696
FS-13,FS-,LVF,grammatical,0.695652174
FS-14,FS-,LVF,grammatical,0.760869565
FS-15,FS-,LVF,grammatical,0.869565217
